Reference_type,access_date,alternate_title,assessment_id,author,date,edition,externalBibCode,internal_taxon_id,internal_taxon_name,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,"",67862807,"Jelić, D., Kuljerić, M., Koren, T., Treer, D., Šalamon, D., Lončar, M., Podnar Lešić, M., Janev Hutinec, B., Bogdanović, T., Mekinić, S. and Jelić, K","","",,2865,Bombina bombina,"","","","","",Zagreb,Ministry of Environment and Nature Protection: State Institute for Nature Protection,"","","","",Published,Red Book of Amphibians and Reptiles of Croatia,book,"","",2012
Assessment,,"",67862807,"Baran, İ., Avcı, A., Kumlutaş, Y., Olgun, K. and Ilgaz, Ç","","",,2865,Bombina bombina,"","","","",223,Ankara,Palme Yayınları,"","","","",Published,Türkiye Amfibi ve Sürüngenleri [The Amphibian and Reptiles of Turkey],book,"",2028,2021
Assessment,,"",67862807,Anonymous,"","",,2865,Bombina bombina,No. 82/02 and 42/10,"","","","","","","",Official Gazette of the Republic of Slovenia,"","",Published,"Rules on the inclusion of endangered plant and animal species in the Red List, Annex 6: Red list of Amphibians (Amphibia)",report,"","",2010
Assessment,,"",67862807,"Gollmann, G","","",,2865,Bombina bombina,"","","","",37–60,Wien,Böhlau Verlag,K.P. Zulka,"Rote Listen gefährdeter Tiere Österreichs. Checklisten, Gefährdungsanalysen, Handlungsbedarf. Teil 2: Kriechtiere, Lurche, Fische, Nachtfalter, Weichtiere. (Grüne Reihe des Lebensministeriums 14/2)","","",Published,Rote Liste der in Österreich gefährdeten Lurche (Amphibia) und Kriechtiere (Reptilia),book section,"","",2007
Assessment,,"",67862807,"Kostanjšek, R., Turk, M., Vek, M., Gutiérrez-Aguirre, I. and Gunde-Cimerman, N","","",,2865,Bombina bombina,"","",1,"",162-166,"","","",Salamandra,"","",Published,"First screening for <i>Batrachochytrium dendrobatidis</i>, <i>B. salamandrivorans</i> and <i>Ranavirus</i> infections in wild and captive amphibians in Slovenia",journal article,"",57,2021
Assessment,,,67862807,"Jović, D., Ajtić, R., Tomović, Lj. ",,,,2865,Bombina bombina,,,,,107-112,,,,Bulletin of the Natural History Museum ,,,Published,"New records of fire-bellied toad (Bombina bombina (Linnaeus, 1761)) and common spadefoot toad (Pelobates fuscus (Laurenti, 1768)) in Serbia. ",journal article,,9 ,2016
Assessment,,,67862807,"Vacher, J. P., Aumaître, D. and Ursenbacher, S.",,,,2865,Bombina bombina,,,1,,47-54,,,,Acta Herpetologica,,,Published,". Genetic characteristics of an introduced population of Bombina bombina (Linnaeus, 1761)(Amphibia: Bombinatoridae) in Moselle, France",journal article,,15,2020
Assessment,,,67862807,"Bülbül U., Eroğlu A.İ., Kurnaz M., Mutanoğlu Kaya Z., Koç H. and Altınkaynak Eroğlu S. ",,,,2865,Bombina bombina,,,3,,221-226,,,,Russian Journal of Herpetology ,,,Published,"Age structure and some growth parameters in a population of Bombina bombina (L., 1761) from Turkey. ",journal article,,25 ,2018
Assessment,,"",67862807,IUCN,28 October 2024,"",,2865,Bombina bombina,"","",28 October 2024,"","","","","","","","","",The IUCN Red List of Threatened Species. Version 2024-2,electronic source,www.iucnredlist.org,"",2024
Assessment,,"",200183152,"Kalezic, M. and Dzukic, G.","","",,22212,Triturus cristatus,"","","","",2-3,"","","",FrogLog,"","",Published,Amphibian status in Serbia and Montenegro (FR Yugoslavia),journal article,"",45,2001
Assessment,,"",200183152,"Böhme, W., Grossenbacher, K. and Thiesmeier, B.","","",,22212,Triturus cristatus,"","","","","",Wiebelsheim,AULA-Verlag,"","","","",Published,"Handbuch der Reptilien und Amphibien Europas, band 4/I:Schwanzlurche (Urodela)",book,"","",1999
