Threats.ThreatsSubfield.StressesSubfield.stress,Threats.ThreatsSubfield.StressesSubfield.stressdesc,Threats.ThreatsSubfield.ThreatsLookup,Threats.ThreatsSubfield.ThreatsName,Threats.ThreatsSubfield.ancestry,Threats.ThreatsSubfield.ias,Threats.ThreatsSubfield.internationalTrade,Threats.ThreatsSubfield.scope,Threats.ThreatsSubfield.severity,Threats.ThreatsSubfield.text,Threats.ThreatsSubfield.timing,Threats.ThreatsSubfield.virus,assessment_id,internal_taxon_id,internal_taxon_name
1.3,,11.2,,,,,Unknown,Unknown,,Ongoing,,200745594,88103927,Triturus ivanbureschi
1.1|1.2,,1.1,,,,,Minority (<50%),Unknown,,Ongoing,,200745594,88103927,Triturus ivanbureschi
1.1|1.2,,4.1,,,,,Minority (<50%),Unknown,,Ongoing,,200745594,88103927,Triturus ivanbureschi
1.2,,9.2.3,,,,,Minority (<50%),Unknown,,Ongoing,,200746759,211146190,Triturus karelinii
1.2,,9.3.4,,,,,Minority (<50%),Unknown,,Ongoing,,200746759,211146190,Triturus karelinii
1.2,,5.3.5,,,,,Minority (<50%),Unknown,,Ongoing,,200746759,211146190,Triturus karelinii
1.2,,9.1.3,,,,,Minority (<50%),Unknown,,Ongoing,,200746759,211146190,Triturus karelinii
2.1,,5.1.1,,,,Yes,Minority (<50%),Unknown,,Ongoing,,200746759,211146190,Triturus karelinii
1.1|1.2,,2.3.3,,,,,Minority (<50%),Unknown,,Ongoing,,200746759,211146190,Triturus karelinii
1.1|1.2,,2.1.3,,,,,Minority (<50%),Unknown,,Ongoing,,200746759,211146190,Triturus karelinii
1.2,,9.2.3,,,,,,,,Ongoing,,202016456,54703,Sclerophrys mauritanica
2.1,,4.1,,,,,,,,Ongoing,,202016456,54703,Sclerophrys mauritanica
1.1|1.2,,1.1,,,,,,,,Ongoing,,202016456,54703,Sclerophrys mauritanica
1.1|1.2,,1.2,,,,,,,,Ongoing,,202016456,54703,Sclerophrys mauritanica
1.1|1.2,,1.3,,,,,,,,Ongoing,,202016456,54703,Sclerophrys mauritanica
1.2,,9.2.3,,,,,Minority (<50%),Negligible declines,,Ongoing,,202020399,196236041,Pelobates vespertinus
1.2,,9.3.4,,,,,Minority (<50%),Negligible declines,,Ongoing,,202020399,196236041,Pelobates vespertinus
1.2,,2.3.3,,,,,Minority (<50%),Negligible declines,,Ongoing,,202020399,196236041,Pelobates vespertinus
1.2,,1.1,,,,,Unknown,Negligible declines,,Ongoing,,202020399,196236041,Pelobates vespertinus
1.2,,1.2,,,,,Minority (<50%),Negligible declines,,Ongoing,,202020399,196236041,Pelobates vespertinus
1.2,,2.1.3,,,,,Minority (<50%),Negligible declines,,Ongoing,,202020399,196236041,Pelobates vespertinus
1.2,,9.1.3,,,,,Minority (<50%),Negligible declines,,Ongoing,,202020399,196236041,Pelobates vespertinus
2.1,,8.1.1,,,,,Minority (<50%),Unknown,,Ongoing,,202020399,196236041,Pelobates vespertinus
1.2,,7.2.4,,,,,Unknown,Unknown,,Ongoing,,202049049,136687833,Salamandrella keyserlingii
1.2,,7.2.8,,,,,Unknown,Unknown,,Ongoing,,202049049,136687833,Salamandrella keyserlingii
1.2,,9.1.3,,,,,Unknown,Unknown,,Ongoing,,202049049,136687833,Salamandrella keyserlingii
1.1|1.2,,1.1,,,,,Unknown,Unknown,,Ongoing,,202049049,136687833,Salamandrella keyserlingii
1.1|1.2,,3.3,,,,,Minority (<50%),Negligible declines,,Ongoing,,202049049,136687833,Salamandrella keyserlingii
1.1|1.2,,4.1,,,,,Minority (<50%),Unknown,,Ongoing,,202049049,136687833,Salamandrella keyserlingii
,,1.1,,,,,Unknown,Rapid Declines,,Ongoing,,202052085,82494309,Hyla orientalis
1.1|1.2|1.3|2.1|2.2,,1.3,,,,,Unknown,Rapid Declines,,Ongoing,,202052085,82494309,Hyla orientalis
1.1|1.2|1.3|2.1|2.2,,3.1,,,,,Unknown,Rapid Declines,,Ongoing,,202052085,82494309,Hyla orientalis
1.1|1.2|1.3|2.1|2.2,,1.2,,,,,Unknown,Rapid Declines,,Ongoing,,202052085,82494309,Hyla orientalis
